"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Elected/Nominated","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"92","Puducherry","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP139/2026-2027/292109","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Shri S. Selvaganabathy (2021-27) (2021-2027)","Elected MP","24-Jul-2026","Kanthakumar","Payment In-Progress","777304"
"93","Uttarakhand","Construction of additional rooms and halls in the existing public and community building","WS/MP204/2025-2026/162158","HARIDWAR(DISTRICT MAGISTRATE HARIDWAR_IDA)","Dr. Kalpana Saini (2022-28) (2022-2028)","Elected MP","16-Jan-2026","KAMBOJ ASSOCIATES","Payment In-Progress","1994975"
"94","Bihar","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18332/2026-2027/286132","BUXAR(DISTRICT PLANNING OFFICER BUXAR_IDA)","Dr. Dharmshila Gupta (2024-30) (2024-2030)","Elected MP","22-Aug-2026","Assistant Engineer Brahmpur","Payment In-Progress","1448169"
"95","Tamil Nadu","Construction of rainwater harvesting structures","WS/MP165/2026-2027/273819","SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA)","Shri P. Chidambaram (2022-28) (2022-2028)","Elected MP","21-Aug-2026","Rajkumar","Payment In-Progress","400000"
"96","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18331/2025-2026/254986","MATHURA(DISTRICT MAGISTRAE MATHURA_IDA)","Shri Tejveer Singh (2024-30) (2024-2030)","Elected MP","20-Aug-2026","VNB INFRATECH","Payment In-Progress","1121000"
"97","Jharkhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18349/2024-2025/174313","SARAIKELA KHARSAWAN(Deputy Commissioner saraikela_IDA)","Shri Pradip Kumar Varma (2024-30) (2024-2030)","Elected MP","23-Aug-2026","JUNIOR ENGINEER NREP SKL KSN","Payment In-Progress","98025"
"98","Jharkhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18349/2024-2025/174312","SARAIKELA KHARSAWAN(Deputy Commissioner saraikela_IDA)","Shri Pradip Kumar Varma (2024-30) (2024-2030)","Elected MP","23-Aug-2026","JUNIOR ENGINEER NREP SKL KSN","Payment In-Progress","117300"
"99","Himachal Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP078/2024-2025/48495","KANGRA(DEPUTY COMMISSIONER KANGRA_IDA)","Dr. Sikander Kumar (2022-28) (2022-2028)","Elected MP","20-Aug-2026","BDO DEHRA MP RAJYA SABHA","Payment In-Progress","50000"
"100","Uttar Pradesh","Street lights","WS/MP187/2025-2026/210033","MAINPURI(DISTRICT MAGISTRATE MAINPURI_IDA)","Shri Javed Ali Khan (2022-28) (2022-2028)","Elected MP","21-Feb-2026","KLK Ventures Private Limited","Payment In-Progress","15364"
"101","Uttar Pradesh","Street lights","WS/MP187/2025-2026/210032","ETAWAH(DISTRICT MAGISTRATE ETAWAH_IDA)","Shri Javed Ali Khan (2022-28) (2022-2028)","Elected MP","30-May-2026","KLK Ventures Private Limited","Payment In-Progress","30728"
"102","Uttar Pradesh","Street lights","WS/MP187/2025-2026/229717","HAPUR(DISTRICT MAGISTRATE HAPUR_IDA)","Shri Javed Ali Khan (2022-28) (2022-2028)","Elected MP","15-Jul-2026","KLK Ventures Private Limited","Payment In-Progress","57588"
"103","Uttar Pradesh","Street lights","WS/MP187/2025-2026/229721","HAPUR(DISTRICT MAGISTRATE HAPUR_IDA)","Shri Javed Ali Khan (2022-28) (2022-2028)","Elected MP","15-Jul-2026","KLK Ventures Private Limited","Payment In-Progress","57588"
"104","Uttar Pradesh","Street lights","WS/MP187/2025-2026/229720","HAPUR(DISTRICT MAGISTRATE HAPUR_IDA)","Shri Javed Ali Khan (2022-28) (2022-2028)","Elected MP","15-Jul-2026","KLK Ventures Private Limited","Payment In-Progress","14397"
"105","Uttar Pradesh","Street lights","WS/MP187/2025-2026/229719","HAPUR(DISTRICT MAGISTRATE HAPUR_IDA)","Shri Javed Ali Khan (2022-28) (2022-2028)","Elected MP","15-Jul-2026","KLK Ventures Private Limited","Payment In-Progress","28794"
"106","Uttar Pradesh","Street lights","WS/MP187/2025-2026/229718","HAPUR(DISTRICT MAGISTRATE HAPUR_IDA)","Shri Javed Ali Khan (2022-28) (2022-2028)","Elected MP","15-Jul-2026","KLK Ventures Private Limited","Payment In-Progress","57588"
"107","Uttar Pradesh","Street lights","WS/MP187/2025-2026/229864","HAPUR(DISTRICT MAGISTRATE HAPUR_IDA)","Shri Javed Ali Khan (2022-28) (2022-2028)","Elected MP","07-Aug-2026","KLK Ventures Private Limited","Payment In-Progress","14397"
"108","Uttar Pradesh","Street lights","WS/MP187/2025-2026/229865","HAPUR(DISTRICT MAGISTRATE HAPUR_IDA)","Shri Javed Ali Khan (2022-28) (2022-2028)","Elected MP","15-Jul-2026","KLK Ventures Private Limited","Payment In-Progress","28794"
"109","Uttar Pradesh","Installing community drinking water plants","WS/MP192/2023-2024/13385","BAGHPAT(DISTRICT MAGISTRATE BAGHPAT_IDA)","Shri Surendra Singh Nagar (2022-28) (2022-2028)","Elected MP","14-Feb-2025","R G SUPPLIERS","Payment In-Progress","190328"
"110","Karnataka","Construction of community centers and community halls","WS/MP18364/2025-2026/199341","GADAG(Deputy Commsioner Gadag_ida)","Shri Narayanasa K. Bhandage (2024-30) (2024-2030)","Elected MP","21-Aug-2026","Project Manager Nirmiti kendra gadag","Payment In-Progress","150000"
"111","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18295/2026-2027/283139","JALORE(DISTRICT COLLECTOR JALORE_IDA)","Smt. Sonia Gandhi (2024-30) (2024-2030)","Elected MP","18-Aug-2026","JAI SHIV SHAKTI CONSTRUCTION COMPANY","Payment In-Progress","230737"
"112","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18295/2026-2027/283139","JALORE(DISTRICT COLLECTOR JALORE_IDA)","Smt. Sonia Gandhi (2024-30) (2024-2030)","Elected MP","18-Aug-2026","JAI SHIV SHAKTI CONSTRUCTION COMPANY","Payment In-Progress","193661"
"113","Uttarakhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP204/2025-2026/159135","HARIDWAR(DISTRICT MAGISTRATE HARIDWAR_IDA)","Dr. Kalpana Saini (2022-28) (2022-2028)","Elected MP","09-Apr-2026","PRAVEJ AND COMPANY","Payment In-Progress","995918"
"114","Uttarakhand","Construction of buildings for community cultural activities","WS/MP204/2025-2026/159140","HARIDWAR(DISTRICT MAGISTRATE HARIDWAR_IDA)","Dr. Kalpana Saini (2022-28) (2022-2028)","Elected MP","09-Apr-2026","PRAVEJ AND COMPANY","Payment In-Progress","996516"
"115","Karnataka","Construction of community centers and community halls","WS/MP18364/2025-2026/172647","BAGALKOTE(DEPUTY COMMISSIONER BAGALKOT_IDA)","Shri Narayanasa K. Bhandage (2024-30) (2024-2030)","Elected MP","10-Aug-2026","Chairman Nirmithi Kendra Bagalkot","Payment In-Progress","250000"
"116","Punjab","Construction of buildings for multi-gym","WS/MP141/2025-2026/213250","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","Shri Harbhajan Singh (2022-28) (2022-2028)","Elected MP","21-Aug-2026","Raman So Satnam","Payment In-Progress","57100"
"117","Rajasthan","Construction of public libraries and reading rooms","WS/MP18295/2024-2025/165483","JAISALMER(DISTRICT COLLECTOR JAISLAMER_IDA)","Smt. Sonia Gandhi (2024-30) (2024-2030)","Elected MP","22-Aug-2026","HUKAM SINGH CONSTRUCTION COMPANY","Payment In-Progress","50000"
"118","Rajasthan","Construction of public libraries and reading rooms","WS/MP147/2025-2026/234782","BIKANER(DISTRICT COLLECTOR BIKANER_IDA)","Shri Pramod Tiwari (2022-28) (2022-2028)","Elected MP","17-Aug-2026","GURU KRIPA CONSTRUCTION COMPANY","Payment In-Progress","437941"
"119","Jammu And Kashmir","Installing hand pumps","WS/MP839/2025-2026/252209","SAMBA(Deputy Commissioner Samba_IDA)","Shri Gulam Ali (2022-28) (2022-2028)","Nominated MP","08-Aug-2026","Expert Drillers","Payment In-Progress","225655"
"120","Jharkhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18349/2024-2025/174311","SARAIKELA KHARSAWAN(Deputy Commissioner saraikela_IDA)","Shri Pradip Kumar Varma (2024-30) (2024-2030)","Elected MP","23-Aug-2026","JUNIOR ENGINEER NREP SKL KSN","Payment In-Progress","134425"
"121","Puducherry","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP139/2026-2027/103181","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Shri S. Selvaganabathy (2021-27) (2021-2027)","Elected MP","21-Aug-2026","Kanthakumar","Payment In-Progress","2903083"
"122","Uttar Pradesh","Construction of buildings for sports facilities","WS/MP188/2023-2024/84132","MUZAFFARNAGAR(DISTRICT MAGISTRATE MUZAFFARNAGAR_IDA)","Shri Jayant Chaudhary (2022-28) (2022-2028)","Elected MP","11-May-2026","RAMA SHAMYA CONT","Payment In-Progress","2040906"
"123","Chhattisgarh","Lighting of public spaces","WS/MP225/2025-2026/190762","SURGUJA(Collector Surguja_IDA)","Smt. Ranjeet Ranjan (2022-28) (2022-2028)","Elected MP","10-Apr-2026","STARCARE ENTERPRISES LLP","Payment In-Progress","249668"
"124","Chhattisgarh","Lighting of public spaces","WS/MP225/2025-2026/190761","SURGUJA(Collector Surguja_IDA)","Smt. Ranjeet Ranjan (2022-28) (2022-2028)","Elected MP","10-Apr-2026","STARCARE ENTERPRISES LLP","Payment In-Progress","249668"
"125","Chhattisgarh","Lighting of public spaces","WS/MP225/2025-2026/190760","SURGUJA(Collector Surguja_IDA)","Smt. Ranjeet Ranjan (2022-28) (2022-2028)","Elected MP","10-Apr-2026","STARCARE ENTERPRISES LLP","Payment In-Progress","249668"
"126","Chhattisgarh","Lighting of public spaces","WS/MP225/2025-2026/190759","SURGUJA(Collector Surguja_IDA)","Smt. Ranjeet Ranjan (2022-28) (2022-2028)","Elected MP","10-Apr-2026","STARCARE ENTERPRISES LLP","Payment In-Progress","249668"
"127","Rajasthan","Installing hand pumps","WS/MP146/2024-2025/138913","DHOLPUR(DISTRICT COLLECTOR DHOLPUR_IDA)","Shri Mukul Wasnik (2022-28) (2022-2028)","Elected MP","02-Apr-2025","Laxmi","Payment In-Progress","3000"
"128","West Bengal","Development of public parks","WS/MP18383/2024-2025/166507","NADIA(DISTRICT MAGISTRATE NADIA_IDA)","Shri Samik Bhattacharya (2024-30) (2024-2030)","Elected MP","13-Aug-2026","ROY CONSTRUCTION","Payment In-Progress","561235"
"129","Uttar Pradesh","Lighting of public spaces","WS/MP201/2023-2024/35268","Mahrajganj(DISTRICT MAGISTRAE MAHARAJGANJ_IDA)","Smt. Sangeeta Yadav (2022-28) (2022-2028)","Elected MP","14-Oct-2025","MS DIKSHA ENTERPRISES","Payment In-Progress","579040"
"130","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP106/2025-2026/192666","SAGAR(DISTRICT COLLECTOR SAGAR_IDA)","Shri Vivek K. Tankha (2022-28) (2022-2028)","Elected MP","22-Aug-2026","Rahul Traders","Payment In-Progress","40500"
"131","Himachal Pradesh","Construction of culverts and bridges","WS/MP18304/2025-2026/196697","CHAMBA(DEPUTY COMMISSIONER CHAMBA_IDA)","Shri Harsh Mahajan (2024-30) (2024-2030)","Elected MP","21-Aug-2026","Gram panchayat Uteep","Payment In-Progress","250000"
"132","Uttar Pradesh","Lighting of public spaces","WS/MP18302/2024-2025/159476","RAE BARELI(DISTRICT MAGISTRATE RAE BARELI_IDA)","Shri Sanjay Seth (2024-30) (2024-2030)","Elected MP","24-Dec-2025","PROTON SOLAR PVT LTD","Payment In-Progress","955311"
"133","Chhattisgarh","Lighting of public spaces","WS/MP225/2025-2026/190751","SURGUJA(Collector Surguja_IDA)","Smt. Ranjeet Ranjan (2022-28) (2022-2028)","Elected MP","10-Apr-2026","STARCARE ENTERPRISES LLP","Payment In-Progress","249668"
"134","Punjab","Construction of buildings for training institutions","WS/MP140/2025-2026/222802","KAPURTHALA(DEPUTY COMMISSIONER KAPURTHALA_IDA)","Shri Sant Balbir Singh (2022-28) (2022-2028)","Elected MP","20-Aug-2026","SAUNDH BUILDING MATERIAL","Payment In-Progress","643200"
"135","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18295/2025-2026/192621","JAISALMER(DISTRICT COLLECTOR JAISLAMER_IDA)","Smt. Sonia Gandhi (2024-30) (2024-2030)","Elected MP","10-Apr-2026","RATHORE CONSTRUCTION COMPANY","Payment In-Progress","250000"
"136","Chhattisgarh","Lighting of public spaces","WS/MP225/2025-2026/190758","SURGUJA(Collector Surguja_IDA)","Smt. Ranjeet Ranjan (2022-28) (2022-2028)","Elected MP","10-Apr-2026","STARCARE ENTERPRISES LLP","Payment In-Progress","249668"
"137","Chhattisgarh","Lighting of public spaces","WS/MP225/2025-2026/190775","SURGUJA(Collector Surguja_IDA)","Smt. Ranjeet Ranjan (2022-28) (2022-2028)","Elected MP","10-Apr-2026","STARCARE ENTERPRISES LLP","Payment In-Progress","249668"
"138","Chhattisgarh","Lighting of public spaces","WS/MP225/2025-2026/190774","SURGUJA(Collector Surguja_IDA)","Smt. Ranjeet Ranjan (2022-28) (2022-2028)","Elected MP","10-Apr-2026","STARCARE ENTERPRISES LLP","Payment In-Progress","249668"
"139","Chhattisgarh","Lighting of public spaces","WS/MP225/2025-2026/190773","SURGUJA(Collector Surguja_IDA)","Smt. Ranjeet Ranjan (2022-28) (2022-2028)","Elected MP","10-Apr-2026","STARCARE ENTERPRISES LLP","Payment In-Progress","249668"
"140","Chhattisgarh","Lighting of public spaces","WS/MP225/2025-2026/190772","SURGUJA(Collector Surguja_IDA)","Smt. Ranjeet Ranjan (2022-28) (2022-2028)","Elected MP","22-May-2026","STARCARE ENTERPRISES LLP","Payment In-Progress","249668"
"141","Chhattisgarh","Lighting of public spaces","WS/MP225/2025-2026/190771","SURGUJA(Collector Surguja_IDA)","Smt. Ranjeet Ranjan (2022-28) (2022-2028)","Elected MP","22-May-2026","STARCARE ENTERPRISES LLP","Payment In-Progress","249668"
"142","Chhattisgarh","Lighting of public spaces","WS/MP225/2025-2026/190778","SURGUJA(Collector Surguja_IDA)","Smt. Ranjeet Ranjan (2022-28) (2022-2028)","Elected MP","10-Apr-2026","STARCARE ENTERPRISES LLP","Payment In-Progress","249668"
"143","Chhattisgarh","Lighting of public spaces","WS/MP225/2025-2026/190777","SURGUJA(Collector Surguja_IDA)","Smt. Ranjeet Ranjan (2022-28) (2022-2028)","Elected MP","10-Apr-2026","STARCARE ENTERPRISES LLP","Payment In-Progress","249668"
"144","Chhattisgarh","Lighting of public spaces","WS/MP225/2025-2026/190776","SURGUJA(Collector Surguja_IDA)","Smt. Ranjeet Ranjan (2022-28) (2022-2028)","Elected MP","10-Apr-2026","STARCARE ENTERPRISES LLP","Payment In-Progress","249668"
"145","Chhattisgarh","Lighting of public spaces","WS/MP225/2025-2026/190750","SURGUJA(Collector Surguja_IDA)","Smt. Ranjeet Ranjan (2022-28) (2022-2028)","Elected MP","10-Apr-2026","STARCARE ENTERPRISES LLP","Payment In-Progress","249668"
"146","Chhattisgarh","Lighting of public spaces","WS/MP225/2025-2026/190757","SURGUJA(Collector Surguja_IDA)","Smt. Ranjeet Ranjan (2022-28) (2022-2028)","Elected MP","10-Apr-2026","STARCARE ENTERPRISES LLP","Payment In-Progress","249668"
"147","Chhattisgarh","Lighting of public spaces","WS/MP225/2025-2026/190756","SURGUJA(Collector Surguja_IDA)","Smt. Ranjeet Ranjan (2022-28) (2022-2028)","Elected MP","10-Apr-2026","STARCARE ENTERPRISES LLP","Payment In-Progress","249668"
"148","Chhattisgarh","Lighting of public spaces","WS/MP225/2025-2026/190755","SURGUJA(Collector Surguja_IDA)","Smt. Ranjeet Ranjan (2022-28) (2022-2028)","Elected MP","10-Apr-2026","STARCARE ENTERPRISES LLP","Payment In-Progress","249668"
"149","Chhattisgarh","Lighting of public spaces","WS/MP225/2025-2026/190754","SURGUJA(Collector Surguja_IDA)","Smt. Ranjeet Ranjan (2022-28) (2022-2028)","Elected MP","10-Apr-2026","STARCARE ENTERPRISES LLP","Payment In-Progress","249668"
"150","Chhattisgarh","Lighting of public spaces","WS/MP225/2025-2026/190753","SURGUJA(Collector Surguja_IDA)","Smt. Ranjeet Ranjan (2022-28) (2022-2028)","Elected MP","10-Apr-2026","STARCARE ENTERPRISES LLP","Payment In-Progress","249668"
"151","Chhattisgarh","Lighting of public spaces","WS/MP225/2025-2026/190752","SURGUJA(Collector Surguja_IDA)","Smt. Ranjeet Ranjan (2022-28) (2022-2028)","Elected MP","10-Apr-2026","STARCARE ENTERPRISES LLP","Payment In-Progress","249668"
"152","Rajasthan","Installing hand pumps","WS/MP148/2024-2025/156295","DHOLPUR(DISTRICT COLLECTOR DHOLPUR_IDA)","Shri Randeep Singh Surjewala (2022-28) (2022-2028)","Elected MP","02-Apr-2025","VIMLESH","Payment In-Progress","3000"
"153","Uttarakhand","Construction of community centers and community halls","WS/MP18333/2025-2026/227699","PITHORAGARH(NRLM , pithoragarh)","Shri Mahendra Bhatt (2024-30) (2024-2030)","Elected MP","23-Jul-2026","MAHILA ASHRAM MUWANI","Payment In-Progress","2000000"
"154","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18303/2024-2025/149499","PRATAPGARH(DISTRICT MAGISTRAE PRATAPGARH_IDA)","Shri Amar Pal Maurya (2024-30) (2024-2030)","Elected MP","27-May-2026","SHANKAR BUILDING CONSTRUCTION","Payment In-Progress","47797"
"155","Jharkhand","Construction of public irrigation facilities","WS/MP18385/2025-2026/180491","GIRIDIH(Deputy Commissioner Giridh_IDA)","Dr. Sarfraz Ahmad (2024-30) (2024-2030)","Elected MP","19-Jun-2026","Executive engineer","Payment In-Progress","997390"
"156","Jharkhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18385/2025-2026/213342","GIRIDIH(Deputy Commissioner Giridh_IDA)","Dr. Sarfraz Ahmad (2024-30) (2024-2030)","Elected MP","19-Jun-2026","Executive engineer","Payment In-Progress","498446"
"157","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP186/2025-2026/218840","MIRZAPUR(DISTRICT MAGISTRATE MIRZAPUR_IDA)","Shri Arun Singh (2020-26) (2020-2026)","Elected MP","08-Aug-2026","SAHNAI STONE WORK","Payment In-Progress","990125"
"158","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP187/2026-2027/251886","SAMBHAL(DISTRICT MAGISTRAE BHIMNAGAR SAMBHAL_IDA)","Shri Javed Ali Khan (2022-28) (2022-2028)","Elected MP","14-Aug-2026","ANKIT INFRATECH","Payment In-Progress","1199763"
"159","Andhra Pradesh","Construction of community centers and community halls","WS/MP18373/2025-2026/165128","PRAKASAM(DISTRICT COLLECTOR PRAKASAM_IDA)","Shri Yerram Venkata Subba Reddy (2024-30) (2024-2030)","Elected MP","01-Aug-2026","P V PRASADA REDDY","Payment In-Progress","1102015"
"160","Jharkhand","Establishing public ground water recharging facilities","WS/MP18385/2026-2027/259424","GIRIDIH(Deputy Commissioner Giridh_IDA)","Dr. Sarfraz Ahmad (2024-30) (2024-2030)","Elected MP","22-Jul-2026","Executive engineer","Payment In-Progress","497564"
"161","Jharkhand","Lighting of public spaces","WS/MP18385/2025-2026/261478","GIRIDIH(Deputy Commissioner Giridh_IDA)","Dr. Sarfraz Ahmad (2024-30) (2024-2030)","Elected MP","22-Jul-2026","Executive engineer","Payment In-Progress","300000"
"162","Jharkhand","Lighting of public spaces","WS/MP18385/2025-2026/261461","GIRIDIH(Deputy Commissioner Giridh_IDA)","Dr. Sarfraz Ahmad (2024-30) (2024-2030)","Elected MP","08-Aug-2026","Executive engineer","Payment In-Progress","300000"
