"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Elected/Nominated","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"19832","Uttar Pradesh","Lighting of public spaces","WS/MP195/2025-2026/234950","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","27-Jan-2026","shyam swaroop manufacturere","Payment Success","236354"
"19833","Uttar Pradesh","Lighting of public spaces","WS/MP195/2025-2026/234956","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","24-Sep-2025","shyam swaroop manufacturere","Payment Success","705640"
"19834","Uttar Pradesh","Lighting of public spaces","WS/MP195/2025-2026/234956","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","27-Jan-2026","shyam swaroop manufacturere","Payment Success","236354"
"19835","Uttar Pradesh","Lighting of public spaces","WS/MP195/2025-2026/234955","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","24-Sep-2025","shyam swaroop manufacturere","Payment Success","705640"
"19836","Uttar Pradesh","Lighting of public spaces","WS/MP195/2025-2026/234955","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","27-Jan-2026","shyam swaroop manufacturere","Payment Success","236354"
"19837","Uttar Pradesh","Lighting of public spaces","WS/MP195/2025-2026/234954","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","24-Sep-2025","shyam swaroop manufacturere","Payment Success","705640"
"19838","Uttar Pradesh","Lighting of public spaces","WS/MP195/2025-2026/234954","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","27-Jan-2026","shyam swaroop manufacturere","Payment Success","236354"
"19839","Uttar Pradesh","Lighting of public spaces","WS/MP195/2025-2026/234952","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","24-Sep-2025","shyam swaroop manufacturere","Payment Success","705640"
"19840","Uttar Pradesh","Lighting of public spaces","WS/MP195/2025-2026/234952","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","27-Jan-2026","shyam swaroop manufacturere","Payment Success","236354"
"19841","Uttar Pradesh","Lighting of public spaces","WS/MP195/2023-2024/23831","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","16-Feb-2024","shyam swaroop manufacturere","Payment Success","133930"
"19842","Uttar Pradesh","Lighting of public spaces","WS/MP195/2023-2024/23831","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","07-Sep-2024","shyam swaroop manufacturere","Payment Success","29343"
"19843","Uttar Pradesh","Lighting of public spaces","WS/MP195/2023-2024/23832","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","16-Feb-2024","shyam swaroop manufacturere","Payment Success","133930"
"19844","Uttar Pradesh","Lighting of public spaces","WS/MP195/2023-2024/23832","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","07-Sep-2024","shyam swaroop manufacturere","Payment Success","29343"
"19845","Uttar Pradesh","Lighting of public spaces","WS/MP195/2023-2024/23862","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","26-Feb-2024","shyam swaroop manufacturere","Payment Success","133930"
"19846","Uttar Pradesh","Lighting of public spaces","WS/MP195/2023-2024/23862","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","11-Sep-2024","shyam swaroop manufacturere","Payment Success","29343"
"19847","Uttar Pradesh","Lighting of public spaces","WS/MP195/2023-2024/114455","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","21-May-2024","shyam swaroop manufacturere","Payment Success","122577.82"
"19848","Uttar Pradesh","Lighting of public spaces","WS/MP195/2023-2024/114455","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","02-Aug-2024","shyam swaroop manufacturere","Payment Success","40851"
