"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Constituency","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"104","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/184031","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"105","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/184234","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"106","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/183819","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","18-Aug-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"107","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/184028","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","18-Aug-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"108","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/184239","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"109","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/184088","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"110","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/184034","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"111","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/184243","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","23-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"112","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/184254","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","23-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"113","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/184282","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","23-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"114","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/184280","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","23-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"115","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/184279","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","23-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"116","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/184266","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","23-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"117","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/184264","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","23-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"118","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/184255","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","23-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"119","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/184305","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","23-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"120","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/184334","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"121","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/184332","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"122","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/184330","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"123","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/184328","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"124","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/184338","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"125","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/184316","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"126","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/184319","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"127","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/184543","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"128","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/171411","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","21-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"129","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/171412","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","18-Aug-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"130","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/171420","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","21-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"131","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/184342","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"132","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/184343","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"133","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/214009","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","23-Jul-2026","Ajay Kumar Singh","Payment In-Progress","18044"
"134","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/214010","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","23-Jul-2026","Ajay Kumar Singh","Payment In-Progress","18044"
"135","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/214058","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","23-Jul-2026","Ajay Kumar Singh","Payment In-Progress","18044"
"136","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/214059","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","23-Jul-2026","Ajay Kumar Singh","Payment In-Progress","18044"
"137","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/214060","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","23-Jul-2026","Ajay Kumar Singh","Payment In-Progress","18044"
"138","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/214061","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","23-Jul-2026","Ajay Kumar Singh","Payment In-Progress","18044"
"139","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/214103","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","23-Jul-2026","Ajay Kumar Singh","Payment In-Progress","18044"
"140","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/214104","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","23-Jul-2026","Ajay Kumar Singh","Payment In-Progress","18044"
"141","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/214105","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","23-Jul-2026","Ajay Kumar Singh","Payment In-Progress","18044"
"142","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/214106","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","23-Jul-2026","Ajay Kumar Singh","Payment In-Progress","18044"
"143","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/214001","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","23-Jul-2026","Ajay Kumar Singh","Payment In-Progress","18044"
"144","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/214002","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","23-Jul-2026","Ajay Kumar Singh","Payment In-Progress","18044"
"145","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/214003","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","23-Jul-2026","Ajay Kumar Singh","Payment In-Progress","18044"
"146","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/214004","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","23-Jul-2026","Ajay Kumar Singh","Payment In-Progress","18044"
"147","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/214008","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","23-Jul-2026","Ajay Kumar Singh","Payment In-Progress","18044"
"148","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/214107","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","23-Jul-2026","Ajay Kumar Singh","Payment In-Progress","18044"
"149","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/214321","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","23-Jul-2026","Ajay Kumar Singh","Payment In-Progress","18044"
"150","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/214320","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","23-Jul-2026","Ajay Kumar Singh","Payment In-Progress","18044"
"151","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/214253","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","23-Jul-2026","Ajay Kumar Singh","Payment In-Progress","18044"
"152","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/214115","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","23-Jul-2026","Ajay Kumar Singh","Payment In-Progress","18044"
"153","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/214202","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","23-Jul-2026","Ajay Kumar Singh","Payment In-Progress","18044"
"154","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/214174","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","23-Jul-2026","Ajay Kumar Singh","Payment In-Progress","18044"
"155","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/214196","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","23-Jul-2026","Ajay Kumar Singh","Payment In-Progress","18044"
"156","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/214195","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","23-Jul-2026","Ajay Kumar Singh","Payment In-Progress","18044"
"157","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/214193","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","23-Jul-2026","Ajay Kumar Singh","Payment In-Progress","18044"
"158","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/214190","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","23-Jul-2026","Ajay Kumar Singh","Payment In-Progress","18044"
"159","Telangana","Lighting of public spaces","WS/MP18192/2026-2027/277613","JOGULAMBA GADWAL(DISTRICT COLLECTOR JOGULAMBA GADWAL_IDA)","DR.MALLU RAVI","NAGARKURNOOL(SC)","21-Aug-2026","B Thirupathi Reddy","Payment In-Progress","199529"
"160","Bihar","Installing tube-wells and borewells","WS/MP561/2025-2026/240284","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Ravi Shankar Prasad","PATNA SAHIB","21-Aug-2026","ASSISTANT ENGINEER BAKHTIYAPUR","Payment In-Progress","207553"
"161","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP380/2025-2026/243217","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","Shri Amar Singh","FATEHGARH SAHIB(SC)","21-Aug-2026","G R Enterprices","Payment In-Progress","136045"
"162","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP380/2025-2026/243217","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","Shri Amar Singh","FATEHGARH SAHIB(SC)","21-Aug-2026","VIKRANT CEMENT STORE","Payment In-Progress","47700"
"163","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP380/2025-2026/243217","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","Shri Amar Singh","FATEHGARH SAHIB(SC)","21-Aug-2026","VIKRANT CEMENT STORE","Payment In-Progress","24520"
"164","Punjab","Purchase of hospital equipment","WS/MP18314/2026-2027/273533","BARNALA(DEPUTY COMMISSIONER BARNALA_IDA)","GURMEET SINGH MEET HAYER","SANGRUR","17-Aug-2026","Medica Enterprises","Payment In-Progress","2092800"
"165","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/171497","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","21-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"166","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/171499","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","21-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"167","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/171501","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","21-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"168","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/171502","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","21-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"169","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/171510","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","21-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"170","Punjab","Installation of multi-gym equipment","WS/MP18155/2025-2026/247632","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","DR. RAJ KUMAR CHABBEWAL","HOSHIARPUR(SC)","21-Aug-2026","Ms Krishan Kumar Bko","Payment In-Progress","45000"
"171","Kerala","Lighting of public spaces","WS/MP18097/2025-2026/188446","KANNUR(DISTRICT COLLECTOR KANNUR_IDA)","SHAFI PARAMBIL","VADAKARA","20-Aug-2026","ALLUMINA ELECTRONICS","Payment In-Progress","191706"
"172","West Bengal","Construction of stadiums","WS/MP18272/2026-2027/222318","Paschim Medinipur(DISTRICT MAGISTRATE PASCHIM MEDINIPUR_IDA)","KALIPADA SAREN","JHARGRAM(ST)","17-Aug-2026","RAJAT SUBHRA MANDAL","Payment In-Progress","4881631"
"173","Jharkhand","Providing supply pipelines for drinking water","WS/MP18072/2026-2027/277328","DHANBAD(DEPUTY COMMISSIONER DHANBAD_IDA)","DULU MAHATO","DHANBAD","17-Aug-2026","BIRENDRA KUMAR MAHATO","Payment In-Progress","600000"
"174","Jharkhand","Providing drains and gutters for public drainage","WS/MP18072/2026-2027/257911","DHANBAD(DEPUTY COMMISSIONER DHANBAD_IDA)","DULU MAHATO","DHANBAD","17-Aug-2026","BIRENDRA KUMAR MAHATO","Payment In-Progress","200000"
"175","Punjab","Purchase of mobile water tankers","WS/MP18311/2026-2027/287163","S.A.S Nagar(DEPUTY COMMISSIONER SAHIBZADA AJIT SINGH NAGAR MOHALI_IDA)","MALVINDER SINGH KANG","ANANDPUR SAHIB","10-Aug-2026","DASHMESH ENGG WORKS","Payment In-Progress","350000"
"176","Punjab","Construction of additional rooms and halls in the existing public and community building","WS/MP18314/2025-2026/256967","BARNALA(DEPUTY COMMISSIONER BARNALA_IDA)","GURMEET SINGH MEET HAYER","SANGRUR","22-Aug-2026","Dhanaula BKO","Payment In-Progress","6560"
"177","Punjab","Construction of additional rooms and halls in the existing public and community building","WS/MP18314/2025-2026/256967","BARNALA(DEPUTY COMMISSIONER BARNALA_IDA)","GURMEET SINGH MEET HAYER","SANGRUR","22-Aug-2026","Sidhu Cement Store Fatehgarh Channa","Payment In-Progress","44630"
"178","Punjab","Construction of additional rooms and halls in the existing public and community building","WS/MP18314/2025-2026/256967","BARNALA(DEPUTY COMMISSIONER BARNALA_IDA)","GURMEET SINGH MEET HAYER","SANGRUR","22-Aug-2026","Sidhu Cement Store Fatehgarh Channa","Payment In-Progress","17920"
"179","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP819/2026-2027/267363","MATHURA(DISTRICT MAGISTRAE MATHURA_IDA)","Smt Hema Malini","MATHURA","22-Aug-2026","JAY MAHAVEER INFRAVENTURE PRIVATE LIMITED","Payment In-Progress","513621"
"180","Bihar","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP561/2026-2027/267051","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Ravi Shankar Prasad","PATNA SAHIB","18-Aug-2026","ASSISTANT ENGINEER DIGHA","Payment In-Progress","994500"
"181","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP856/2025-2026/231387","LUCKNOW(DISTRICT MAGISTRAE LUCKNOW_IDA)","Rajnath Singh","LUCKNOW","08-Aug-2026","MRK CONSTRUCTIONS","Payment In-Progress","133800"
"182","Tamil Nadu","Lighting of public spaces","WS/MP18179/2025-2026/245344","THANJAVUR(DISTRICT COLLECTOR THANJAVUR_IDA)","SUDHA R","MAYILADUTHURAI","06-Aug-2026","SRI SAI ENTERPRISES","Payment In-Progress","900000"
"183","Tamil Nadu","Lighting of public spaces","WS/MP18179/2025-2026/245326","THANJAVUR(DISTRICT COLLECTOR THANJAVUR_IDA)","SUDHA R","MAYILADUTHURAI","06-Aug-2026","SRI SAI ENTERPRISES","Payment In-Progress","900000"
"184","Tamil Nadu","Purchase of books and periodicals for libraries/digitization of library books","WS/MP746/2025-2026/212906","RAMANATHAPURAM(DISTRICT COLLECTOR RAMANATHAPURAM_IDA)","Kani K Navas","RAMANATHAPURAM","01-Apr-2026","Nava India Pathipagam","Payment In-Progress","500000"
"185","Tamil Nadu","Street lights","WS/MP18177/2025-2026/156784","TIRUPPUR(DISTRICT COLLECTOR TIRUPPUR_IDA)","K E PRAKASH","ERODE","16-Apr-2026","QUALITTY ENTERPRISES","Payment In-Progress","400000"
"186","Punjab","Construction of additional rooms and halls in the existing public and community building","WS/MP18314/2025-2026/256967","BARNALA(DEPUTY COMMISSIONER BARNALA_IDA)","GURMEET SINGH MEET HAYER","SANGRUR","22-Aug-2026","BHAGWATI STEELS","Payment In-Progress","240226"
"187","Madhya Pradesh","Purchase of mobile water tankers","WS/MP18102/2026-2027/294331","DHAR(DISTRICT COLLECTOR DHAR_IDA)","SAVITRI THAKUR","DHAR(ST)","21-Aug-2026","M P  AGRO DHAR","Payment In-Progress","80000"
"188","Madhya Pradesh","Purchase of mobile water tankers","WS/MP18102/2026-2027/298711","DHAR(DISTRICT COLLECTOR DHAR_IDA)","SAVITRI THAKUR","DHAR(ST)","21-Aug-2026","M P  AGRO DHAR","Payment In-Progress","80000"
"189","Madhya Pradesh","Purchase of mobile water tankers","WS/MP18102/2026-2027/298713","DHAR(DISTRICT COLLECTOR DHAR_IDA)","SAVITRI THAKUR","DHAR(ST)","21-Aug-2026","M P  AGRO DHAR","Payment In-Progress","80000"
"190","Madhya Pradesh","Purchase of mobile water tankers","WS/MP18102/2026-2027/298714","DHAR(DISTRICT COLLECTOR DHAR_IDA)","SAVITRI THAKUR","DHAR(ST)","21-Aug-2026","M P  AGRO DHAR","Payment In-Progress","80000"
"191","Madhya Pradesh","Purchase of mobile water tankers","WS/MP18102/2026-2027/298715","DHAR(DISTRICT COLLECTOR DHAR_IDA)","SAVITRI THAKUR","DHAR(ST)","21-Aug-2026","M P  AGRO DHAR","Payment In-Progress","80000"
"192","Madhya Pradesh","Purchase of mobile water tankers","WS/MP18102/2026-2027/298716","DHAR(DISTRICT COLLECTOR DHAR_IDA)","SAVITRI THAKUR","DHAR(ST)","21-Aug-2026","M P  AGRO DHAR","Payment In-Progress","80000"
"193","Madhya Pradesh","Purchase of mobile water tankers","WS/MP18102/2026-2027/298718","DHAR(DISTRICT COLLECTOR DHAR_IDA)","SAVITRI THAKUR","DHAR(ST)","21-Aug-2026","M P  AGRO DHAR","Payment In-Progress","80000"
"194","Madhya Pradesh","Purchase of mobile water tankers","WS/MP18102/2026-2027/294839","DHAR(DISTRICT COLLECTOR DHAR_IDA)","SAVITRI THAKUR","DHAR(ST)","21-Aug-2026","M P  AGRO DHAR","Payment In-Progress","80000"
"195","Madhya Pradesh","Purchase of mobile water tankers","WS/MP18102/2026-2027/294841","DHAR(DISTRICT COLLECTOR DHAR_IDA)","SAVITRI THAKUR","DHAR(ST)","21-Aug-2026","M P  AGRO DHAR","Payment In-Progress","80000"
"196","Madhya Pradesh","Purchase of mobile water tankers","WS/MP18102/2026-2027/294843","DHAR(DISTRICT COLLECTOR DHAR_IDA)","SAVITRI THAKUR","DHAR(ST)","21-Aug-2026","M P  AGRO DHAR","Payment In-Progress","80000"
"197","Madhya Pradesh","Purchase of mobile water tankers","WS/MP18102/2026-2027/294846","DHAR(DISTRICT COLLECTOR DHAR_IDA)","SAVITRI THAKUR","DHAR(ST)","21-Aug-2026","M P  AGRO DHAR","Payment In-Progress","80000"
"198","Madhya Pradesh","Purchase of mobile water tankers","WS/MP18102/2026-2027/298719","DHAR(DISTRICT COLLECTOR DHAR_IDA)","SAVITRI THAKUR","DHAR(ST)","21-Aug-2026","M P  AGRO DHAR","Payment In-Progress","80000"
"199","Madhya Pradesh","Purchase of mobile water tankers","WS/MP18102/2026-2027/298726","DHAR(DISTRICT COLLECTOR DHAR_IDA)","SAVITRI THAKUR","DHAR(ST)","21-Aug-2026","M P  AGRO DHAR","Payment In-Progress","80000"
"200","Madhya Pradesh","Purchase of mobile water tankers","WS/MP18102/2026-2027/292845","DHAR(DISTRICT COLLECTOR DHAR_IDA)","SAVITRI THAKUR","DHAR(ST)","21-Aug-2026","M P  AGRO DHAR","Payment In-Progress","80000"
"201","Madhya Pradesh","Purchase of mobile water tankers","WS/MP18102/2026-2027/292846","DHAR(DISTRICT COLLECTOR DHAR_IDA)","SAVITRI THAKUR","DHAR(ST)","21-Aug-2026","M P  AGRO DHAR","Payment In-Progress","80000"
"202","Madhya Pradesh","Purchase of mobile water tankers","WS/MP18102/2026-2027/292847","DHAR(DISTRICT COLLECTOR DHAR_IDA)","SAVITRI THAKUR","DHAR(ST)","21-Aug-2026","M P  AGRO DHAR","Payment In-Progress","80000"
"203","Madhya Pradesh","Purchase of mobile water tankers","WS/MP18102/2026-2027/292849","DHAR(DISTRICT COLLECTOR DHAR_IDA)","SAVITRI THAKUR","DHAR(ST)","21-Aug-2026","M P  AGRO DHAR","Payment In-Progress","80000"
